Modelo,MAE,RMSE,R2
Linear Regression,1.2641914701498507,1.6435449213743851,0.3745347405403061
Ridge,1.2641861430391665,1.643540055254855,0.37453844422271754
SVR,1.2657808281016554,1.6654622680793882,0.3577418397035522
Random Forest,1.2649363427649114,1.6526185990624243,0.36760954354405917
XGBoost,1.279382881126053,1.6745530026382298,0.35071131943858547
KNN,1.3940137683328344,1.8017152358462518,0.24835575399848064
Decision Tree,1.8344806944028733,2.41484731992921,-0.35026617953724526
